<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20130108,000000,146.2000000,147.9600000,145.6400000,147.9000000,25.194.460
GAZP,D,20130109,000000,147.2700000,149.0500000,147.1500000,148.9100000,29.495.030
GAZP,D,20130110,000000,149.0000000,149.5100000,147.3000000,147.6000000,22.687.230
GAZP,D,20130111,000000,147.7000000,148.6900000,147.4000000,147.9700000,19.645.680
GAZP,D,20130114,000000,148.5500000,149.8500000,148.2000000,149.6000000,28.624.470
GAZP,D,20130115,000000,149.3200000,149.6000000,147.7100000,147.7300000,25.909.670
GAZP,D,20130116,000000,147.6700000,148.4000000,146.0300000,146.4200000,31.561.980
GAZP,D,20130117,000000,146.5000000,148.2300000,146.3700000,147.7000000,31.752.360
GAZP,D,20130118,000000,148.4000000,149.2300000,148.1300000,148.4200000,27.574.060
GAZP,D,20130121,000000,148.4100000,148.7000000,146.6400000,147.7400000,19.778.150
GAZP,D,20130122,000000,147.9000000,148.1400000,145.4100000,145.8400000,28.664.340
GAZP,D,20130123,000000,146.2500000,146.9400000,145.6000000,146.6700000,23.636.620
GAZP,D,20130124,000000,146.4000000,146.6300000,144.8500000,146.1400000,23.624.260
GAZP,D,20130125,000000,146.1400000,146.7800000,145.0600000,146.4000000,22.435.850
GAZP,D,20130128,000000,146.8700000,147.9900000,146.1700000,147.2200000,29.065.400
GAZP,D,20130129,000000,147.2000000,147.2000000,145.7000000,145.9100000,27.541.450
GAZP,D,20130130,000000,146.5500000,147.1700000,143.1500000,143.8500000,38.964.310
GAZP,D,20130131,000000,143.6400000,143.6700000,141.2700000,142.0900000,37.656.240
GAZP,D,20130201,000000,142.4400000,143.4700000,141.8700000,142.2800000,27.053.180
GAZP,D,20130204,000000,142.8000000,143.1900000,140.6200000,141.4700000,23.272.680
GAZP,D,20130205,000000,141.1000000,141.6600000,140.2100000,141.3700000,21.516.420
GAZP,D,20130206,000000,142.0000000,142.1900000,139.4500000,139.9100000,37.600.200
GAZP,D,20130207,000000,140.2300000,140.2700000,138.5200000,138.9100000,27.209.820
GAZP,D,20130208,000000,139.3000000,139.3400000,136.8000000,137.6800000,44.541.100
GAZP,D,20130211,000000,137.8000000,137.9500000,135.0500000,135.2900000,37.869.130
GAZP,D,20130212,000000,135.0200000,135.0800000,133.1500000,133.3000000,46.262.900
GAZP,D,20130213,000000,133.9500000,137.8400000,133.4200000,137.1500000,81.475.180
GAZP,D,20130214,000000,137.2000000,138.2000000,133.5500000,134.2000000,54.783.730
GAZP,D,20130215,000000,134.2000000,134.5700000,131.7200000,133.9900000,38.229.780
GAZP,D,20130218,000000,134.0000000,136.2000000,133.3000000,135.9000000,36.644.590
GAZP,D,20130219,000000,136.0000000,137.8600000,135.7300000,137.5500000,42.774.610
GAZP,D,20130220,000000,137.9800000,137.9800000,136.5200000,137.0600000,34.031.250
GAZP,D,20130221,000000,135.7600000,136.2000000,134.6100000,136.0000000,35.621.840
GAZP,D,20130222,000000,136.3200000,137.1300000,136.0000000,136.8100000,23.939.270
GAZP,D,20130225,000000,137.0500000,138.4700000,136.5500000,138.0300000,26.757.390
GAZP,D,20130226,000000,136.5000000,137.1900000,135.5000000,136.5000000,23.406.630
GAZP,D,20130227,000000,136.9000000,138.5200000,136.3300000,137.6000000,37.454.170
GAZP,D,20130228,000000,138.3600000,138.4000000,136.5200000,137.4000000,30.400.410
GAZP,D,20130301,000000,136.7400000,136.9400000,133.9800000,134.7500000,40.674.820
GAZP,D,20130304,000000,134.2200000,135.3800000,132.6500000,133.0300000,52.298.330
GAZP,D,20130305,000000,133.5300000,136.4600000,132.5400000,136.4500000,47.943.220
GAZP,D,20130306,000000,136.5000000,137.3200000,134.7200000,134.8500000,35.293.070
GAZP,D,20130307,000000,134.9700000,135.7500000,133.3700000,133.7300000,27.301.820
GAZP,D,20130311,000000,135.0200000,136.9500000,134.8600000,136.6000000,43.251.580
GAZP,D,20130312,000000,136.8000000,137.4400000,135.8600000,137.2500000,31.665.110
GAZP,D,20130313,000000,136.9000000,141.7900000,136.6000000,140.5600000,83.301.120
GAZP,D,20130314,000000,140.5000000,142.5000000,140.0000000,142.0800000,65.147.620
GAZP,D,20130315,000000,142.8100000,144.8200000,142.5800000,144.5000000,95.451.050
GAZP,D,20130318,000000,142.9700000,144.3700000,140.8500000,144.2800000,66.361.820
GAZP,D,20130319,000000,144.4000000,145.9500000,142.0500000,142.3400000,46.702.040
GAZP,D,20130320,000000,141.8700000,142.5000000,140.6600000,142.0900000,40.692.710
GAZP,D,20130321,000000,142.6200000,143.8800000,142.0000000,142.3200000,36.385.070
GAZP,D,20130322,000000,142.0500000,142.2500000,140.0000000,140.1800000,29.735.430
GAZP,D,20130325,000000,140.9100000,142.3500000,138.3000000,138.6000000,35.709.610
GAZP,D,20130326,000000,138.9600000,139.4800000,136.5000000,136.5800000,37.803.470
GAZP,D,20130327,000000,137.4100000,137.6400000,134.0400000,136.3600000,39.780.390
GAZP,D,20130328,000000,135.4200000,135.6600000,131.9800000,133.1700000,76.130.710
GAZP,D,20130329,000000,133.8300000,134.1600000,133.1100000,134.0800000,16.481.190
GAZP,D,20130401,000000,133.8800000,134.4800000,132.6300000,132.8500000,16.448.900
GAZP,D,20130402,000000,133.0100000,133.4400000,130.8100000,130.8100000,42.156.920
GAZP,D,20130403,000000,130.9500000,131.7000000,129.8700000,130.3800000,47.230.250
GAZP,D,20130404,000000,129.2900000,132.8800000,128.7700000,131.2900000,57.385.380
