<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
17922_090101_130416,D,20090123,000000,0.2490000,0.2490000,0.2490000,0.2490000,100
17922_090101_130416,D,20090126,000000,0.2700000,0.2800000,0.2700000,0.2800000,400
17922_090101_130416,D,20090128,000000,0.2850000,0.3910000,0.2130000,0.2210000,2.400
17922_090101_130416,D,20090129,000000,0.2300000,0.2300000,0.2300000,0.2300000,1.000
17922_090101_130416,D,20090130,000000,0.2200000,0.2200000,0.2100000,0.2100000,800
17922_090101_130416,D,20090202,000000,0.2300000,0.2300000,0.1730000,0.1900000,9.500
17922_090101_130416,D,20090204,000000,0.2480000,0.2660000,0.2280000,0.2660000,39.800
17922_090101_130416,D,20090205,000000,0.2920000,0.3090000,0.2420000,0.2420000,3.100
17922_090101_130416,D,20090206,000000,0.2660000,0.3000000,0.2550000,0.2550000,15.300
17922_090101_130416,D,20090209,000000,0.2800000,0.2800000,0.2800000,0.2800000,100
17922_090101_130416,D,20090212,000000,0.2550000,0.2890000,0.2500000,0.2890000,23.600
17922_090101_130416,D,20090213,000000,0.2310000,0.2500000,0.2300000,0.2300000,14.000
17922_090101_130416,D,20090216,000000,0.2350000,0.2920000,0.2300000,0.2300000,5.500
17922_090101_130416,D,20090217,000000,0.2600000,0.2690000,0.2300000,0.2690000,3.400
17922_090101_130416,D,20090218,000000,0.2850000,0.2850000,0.2850000,0.2850000,100
17922_090101_130416,D,20090219,000000,0.2620000,0.2620000,0.1800000,0.2200000,58.700
17922_090101_130416,D,20090224,000000,0.2200000,0.2820000,0.2200000,0.2820000,2.200
17922_090101_130416,D,20090225,000000,0.2900000,0.2900000,0.2900000,0.2900000,100
17922_090101_130416,D,20090227,000000,0.2500000,0.2500000,0.2500000,0.2500000,100
17922_090101_130416,D,20090302,000000,0.2500000,0.2840000,0.2500000,0.2840000,4.300
17922_090101_130416,D,20090310,000000,0.2500000,0.2500000,0.2500000,0.2500000,100
17922_090101_130416,D,20090311,000000,0.2500000,0.2500000,0.2500000,0.2500000,14.400
17922_090101_130416,D,20090319,000000,0.2350000,0.2800000,0.2350000,0.2800000,5.100
17922_090101_130416,D,20090324,000000,0.2650000,0.2800000,0.2650000,0.2800000,3.000
17922_090101_130416,D,20090325,000000,0.2800000,0.3060000,0.2800000,0.3050000,24.600
17922_090101_130416,D,20090327,000000,0.3000000,0.3000000,0.3000000,0.3000000,200
17922_090101_130416,D,20090331,000000,0.3040000,0.3040000,0.3040000,0.3040000,500
17922_090101_130416,D,20090401,000000,0.2210000,0.3050000,0.2200000,0.3040000,7.600
17922_090101_130416,D,20090406,000000,0.2230000,0.2950000,0.2200000,0.2950000,11.300
17922_090101_130416,D,20090407,000000,0.3040000,0.3060000,0.3000000,0.3060000,9.800
17922_090101_130416,D,20090408,000000,0.3050000,0.3050000,0.3050000,0.3050000,200
17922_090101_130416,D,20090410,000000,0.3000000,0.3050000,0.3000000,0.3050000,600
17922_090101_130416,D,20090413,000000,0.3050000,0.4270000,0.2450000,0.4240000,234.000
17922_090101_130416,D,20090414,000000,0.5940000,0.5940000,0.3400000,0.4800000,101.400
17922_090101_130416,D,20090415,000000,0.3800000,0.4400000,0.3600000,0.3850000,84.800
17922_090101_130416,D,20090416,000000,0.4400000,0.4550000,0.3530000,0.3530000,105.600
17922_090101_130416,D,20090417,000000,0.3600000,0.3850000,0.3410000,0.3410000,153.000
17922_090101_130416,D,20090420,000000,0.3460000,0.3790000,0.3230000,0.3230000,50.200
17922_090101_130416,D,20090421,000000,0.3100000,0.3660000,0.2560000,0.3640000,1.800
17922_090101_130416,D,20090422,000000,0.4000000,0.4000000,0.2810000,0.3880000,7.400
17922_090101_130416,D,20090423,000000,0.3190000,0.3600000,0.3190000,0.3350000,1.800
17922_090101_130416,D,20090424,000000,0.3600000,0.3600000,0.3020000,0.3320000,300
17922_090101_130416,D,20090427,000000,0.3200000,0.3200000,0.3200000,0.3200000,15.200
17922_090101_130416,D,20090428,000000,0.3520000,0.3520000,0.3010000,0.3310000,7.500
17922_090101_130416,D,20090429,000000,0.3300000,0.3500000,0.3300000,0.3500000,4.200
17922_090101_130416,D,20090430,000000,0.3350000,0.3350000,0.3350000,0.3350000,300
17922_090101_130416,D,20090504,000000,0.3000000,0.3600000,0.3000000,0.3600000,52.000
17922_090101_130416,D,20090505,000000,0.3590000,0.3700000,0.3160000,0.3670000,3.800
17922_090101_130416,D,20090506,000000,0.3690000,0.3690000,0.3000000,0.3500000,82.200
17922_090101_130416,D,20090507,000000,0.3600000,0.3600000,0.3590000,0.3590000,1.100
17922_090101_130416,D,20090508,000000,0.3570000,0.3570000,0.3120000,0.3300000,21.500
17922_090101_130416,D,20090512,000000,0.3390000,0.3390000,0.3390000,0.3390000,300
17922_090101_130416,D,20090513,000000,0.3700000,0.3700000,0.3000000,0.3060000,85.200
17922_090101_130416,D,20090514,000000,0.2950000,0.2950000,0.2950000,0.2950000,100
17922_090101_130416,D,20090515,000000,0.3300000,0.3400000,0.3200000,0.3200000,102.600
17922_090101_130416,D,20090518,000000,0.3340000,0.3340000,0.3340000,0.3340000,300
17922_090101_130416,D,20090519,000000,0.3200000,0.4050000,0.3200000,0.4050000,244.700
17922_090101_130416,D,20090520,000000,0.3900000,0.3900000,0.3900000,0.3900000,20.300
17922_090101_130416,D,20090521,000000,0.3900000,0.5450000,0.3900000,0.4980000,363.000
17922_090101_130416,D,20090522,000000,0.3630000,0.5460000,0.3630000,0.4830000,208.200
17922_090101_130416,D,20090525,000000,0.5430000,0.5430000,0.3710000,0.4800000,700
17922_090101_130416,D,20090526,000000,0.4800000,0.4800000,0.4800000,0.4800000,18.200
17922_090101_130416,D,20090527,000000,0.3270000,0.4700000,0.3270000,0.4700000,35.400
17922_090101_130416,D,20090528,000000,0.3510000,0.5480000,0.3510000,0.4210000,111.400
17922_090101_130416,D,20090529,000000,0.4000000,0.5550000,0.3810000,0.4110000,85.900
17922_090101_130416,D,20090601,000000,0.4040000,0.4980000,0.4040000,0.4790000,179.600
17922_090101_130416,D,20090602,000000,0.5000000,0.5030000,0.4230000,0.4230000,88.500
17922_090101_130416,D,20090603,000000,0.4130000,0.4690000,0.2540000,0.4180000,378.500
17922_090101_130416,D,20090604,000000,0.4610000,0.4690000,0.3910000,0.4530000,3.300
17922_090101_130416,D,20090605,000000,0.4510000,0.4700000,0.4510000,0.4700000,120.000
17922_090101_130416,D,20090608,000000,0.4800000,0.4800000,0.4800000,0.4800000,200
17922_090101_130416,D,20090609,000000,0.4430000,0.4450000,0.4200000,0.4400000,1.043.800
17922_090101_130416,D,20090610,000000,0.4250000,0.4500000,0.4250000,0.4480000,307.900
17922_090101_130416,D,20090611,000000,0.4400000,0.4500000,0.4400000,0.4490000,6.700
17922_090101_130416,D,20090615,000000,0.4400000,0.4690000,0.4290000,0.4290000,4.400
17922_090101_130416,D,20090616,000000,0.4690000,0.4690000,0.4360000,0.4360000,900
17922_090101_130416,D,20090617,000000,0.4440000,0.4440000,0.4230000,0.4260000,137.200
17922_090101_130416,D,20090618,000000,0.4060000,0.5900000,0.3900000,0.5900000,370.200
17922_090101_130416,D,20090619,000000,0.5900000,0.5900000,0.4130000,0.4500000,155.700
17922_090101_130416,D,20090622,000000,0.4400000,0.4400000,0.4210000,0.4210000,6.500
17922_090101_130416,D,20090623,000000,0.3900000,0.3900000,0.3900000,0.3900000,3.800
17922_090101_130416,D,20090624,000000,0.4290000,0.4300000,0.4290000,0.4290000,6.000
17922_090101_130416,D,20090625,000000,0.4020000,0.4480000,0.4000000,0.4000000,76.800
17922_090101_130416,D,20090626,000000,0.4000000,0.4190000,0.4000000,0.4000000,27.100
17922_090101_130416,D,20090630,000000,0.4490000,0.4490000,0.3920000,0.4090000,50.500
17922_090101_130416,D,20090701,000000,0.4090000,0.4270000,0.3900000,0.4140000,420.700
17922_090101_130416,D,20090702,000000,0.4000000,0.4390000,0.4000000,0.4390000,50.200
17922_090101_130416,D,20090703,000000,0.4030000,0.4380000,0.3830000,0.4380000,1.500
17922_090101_130416,D,20090707,000000,0.4000000,0.4280000,0.4000000,0.4280000,1.200
17922_090101_130416,D,20090708,000000,0.3740000,0.4230000,0.3740000,0.4150000,2.500
17922_090101_130416,D,20090710,000000,0.3820000,0.4130000,0.3820000,0.4130000,300
17922_090101_130416,D,20090713,000000,0.4210000,0.5010000,0.4210000,0.5010000,1.000
17922_090101_130416,D,20090714,000000,0.5000000,0.5000000,0.3760000,0.3760000,200
17922_090101_130416,D,20090715,000000,0.4110000,0.4110000,0.4110000,0.4110000,100
17922_090101_130416,D,20090716,000000,0.4120000,0.4310000,0.4120000,0.4310000,69.800
17922_090101_130416,D,20090717,000000,0.4310000,0.4320000,0.3890000,0.4300000,12.100
17922_090101_130416,D,20090720,000000,0.4500000,0.4600000,0.3980000,0.4600000,9.200
17922_090101_130416,D,20090721,000000,0.4050000,0.4600000,0.4040000,0.4230000,185.900
17922_090101_130416,D,20090722,000000,0.4530000,0.4530000,0.4530000,0.4530000,100
17922_090101_130416,D,20090723,000000,0.4530000,0.4580000,0.4150000,0.4580000,8.300
17922_090101_130416,D,20090724,000000,0.4210000,0.4530000,0.4210000,0.4530000,200
17922_090101_130416,D,20090727,000000,0.4570000,0.4580000,0.4090000,0.4530000,11.300
17922_090101_130416,D,20090728,000000,0.4230000,0.4690000,0.4130000,0.4630000,14.200
17922_090101_130416,D,20090729,000000,0.4290000,0.4300000,0.4050000,0.4300000,56.300
17922_090101_130416,D,20090730,000000,0.4690000,0.4690000,0.4140000,0.4350000,2.900
17922_090101_130416,D,20090731,000000,0.4490000,0.5100000,0.4300000,0.4990000,187.600
17922_090101_130416,D,20090803,000000,0.5990000,0.5990000,0.4340000,0.4340000,5.800
17922_090101_130416,D,20090804,000000,0.4840000,0.4850000,0.4450000,0.4850000,9.400
17922_090101_130416,D,20090805,000000,0.4510000,0.5100000,0.4370000,0.4610000,158.700
17922_090101_130416,D,20090806,000000,0.4360000,0.4880000,0.4340000,0.4360000,70.800
17922_090101_130416,D,20090807,000000,0.4140000,0.4970000,0.4140000,0.4400000,73.200
17922_090101_130416,D,20090810,000000,0.4980000,0.4980000,0.4400000,0.4790000,50.000
17922_090101_130416,D,20090811,000000,0.4780000,0.5980000,0.4780000,0.5000000,327.600
17922_090101_130416,D,20090812,000000,0.5010000,0.5490000,0.4410000,0.5010000,46.800
17922_090101_130416,D,20090813,000000,0.4550000,0.5500000,0.4550000,0.4710000,243.900
17922_090101_130416,D,20090814,000000,0.5290000,0.5290000,0.4560000,0.4780000,25.100
17922_090101_130416,D,20090817,000000,0.4960000,0.5000000,0.4700000,0.5000000,213.700
17922_090101_130416,D,20090818,000000,0.5000000,0.5500000,0.4990000,0.5500000,52.500
17922_090101_130416,D,20090819,000000,0.5450000,0.5490000,0.5450000,0.5490000,12.000
17922_090101_130416,D,20090820,000000,0.5700000,0.5700000,0.5700000,0.5700000,500
17922_090101_130416,D,20090821,000000,0.5990000,0.5990000,0.5990000,0.5990000,100
17922_090101_130416,D,20090824,000000,0.4700000,0.5200000,0.4600000,0.5000000,158.200
17922_090101_130416,D,20090826,000000,0.5110000,0.5110000,0.4620000,0.4720000,300
17922_090101_130416,D,20090827,000000,0.5010000,0.5010000,0.4620000,0.4620000,209.100
17922_090101_130416,D,20090828,000000,0.4630000,0.4900000,0.4520000,0.4900000,21.500
17922_090101_130416,D,20090831,000000,0.4980000,0.4980000,0.4950000,0.4980000,2.900
17922_090101_130416,D,20090901,000000,0.5000000,0.5100000,0.4530000,0.5090000,348.500
17922_090101_130416,D,20090902,000000,0.5120000,0.5120000,0.4710000,0.4710000,7.700
17922_090101_130416,D,20090904,000000,0.4630000,0.5070000,0.4610000,0.5070000,141.200
17922_090101_130416,D,20090908,000000,0.5000000,0.5000000,0.5000000,0.5000000,6.800
17922_090101_130416,D,20090909,000000,0.4860000,0.4860000,0.4850000,0.4850000,25.200
17922_090101_130416,D,20090910,000000,0.5000000,0.5000000,0.5000000,0.5000000,300.000
17922_090101_130416,D,20090911,000000,0.5000000,0.5940000,0.5000000,0.5240000,501.700
17922_090101_130416,D,20090914,000000,0.5000000,0.5570000,0.4980000,0.5000000,1.837.700
17922_090101_130416,D,20090915,000000,0.5000000,0.5600000,0.4990000,0.5200000,2.502.500
17922_090101_130416,D,20090916,000000,0.5290000,0.5790000,0.5260000,0.5260000,378.800
17922_090101_130416,D,20090917,000000,0.5700000,0.5700000,0.5690000,0.5700000,2.600
17922_090101_130416,D,20090918,000000,0.5700000,0.5700000,0.5320000,0.5320000,114.800
17922_090101_130416,D,20090921,000000,0.5480000,0.5480000,0.5480000,0.5480000,3.100
17922_090101_130416,D,20090922,000000,0.5300000,0.5480000,0.5300000,0.5480000,500
17922_090101_130416,D,20090923,000000,0.5980000,0.5980000,0.5300000,0.5300000,2.200
17922_090101_130416,D,20090924,000000,0.5300000,0.5590000,0.5120000,0.5140000,11.200
17922_090101_130416,D,20090925,000000,0.5100000,0.5360000,0.4990000,0.5360000,33.000
17922_090101_130416,D,20090928,000000,0.5300000,0.5360000,0.4900000,0.4900000,14.500
17922_090101_130416,D,20090929,000000,0.4850000,0.5280000,0.4850000,0.5100000,23.300
17922_090101_130416,D,20090930,000000,0.5240000,0.5360000,0.5220000,0.5220000,15.600
17922_090101_130416,D,20091001,000000,0.5300000,0.5770000,0.5120000,0.5180000,37.700
17922_090101_130416,D,20091002,000000,0.5800000,0.5800000,0.5110000,0.5470000,6.000
17922_090101_130416,D,20091005,000000,0.5740000,0.5740000,0.5740000,0.5740000,100
17922_090101_130416,D,20091006,000000,0.5300000,0.5580000,0.5200000,0.5460000,81.100
17922_090101_130416,D,20091007,000000,0.5440000,0.5800000,0.5300000,0.5660000,173.800
17922_090101_130416,D,20091008,000000,0.5650000,0.5750000,0.5500000,0.5750000,103.000
17922_090101_130416,D,20091009,000000,0.5880000,0.5990000,0.5790000,0.5790000,313.100
17922_090101_130416,D,20091012,000000,0.6090000,0.6090000,0.6000000,0.6000000,42.600
17922_090101_130416,D,20091013,000000,0.6100000,0.6100000,0.5600000,0.6000000,85.500
17922_090101_130416,D,20091014,000000,0.6540000,0.6540000,0.5970000,0.6000000,358.400
17922_090101_130416,D,20091015,000000,0.6480000,0.6490000,0.5690000,0.5990000,196.600
17922_090101_130416,D,20091016,000000,0.6310000,0.6530000,0.5930000,0.6110000,363.300
17922_090101_130416,D,20091019,000000,0.6470000,0.6480000,0.6290000,0.6290000,49.700
17922_090101_130416,D,20091020,000000,0.5800000,0.6900000,0.5800000,0.6300000,6.800
17922_090101_130416,D,20091021,000000,0.5920000,0.6470000,0.5920000,0.6470000,1.800
17922_090101_130416,D,20091022,000000,0.6480000,0.6480000,0.5710000,0.6400000,600
17922_090101_130416,D,20091023,000000,0.6490000,0.6490000,0.5560000,0.6300000,23.200
17922_090101_130416,D,20091026,000000,0.6480000,0.6480000,0.6050000,0.6070000,51.500
17922_090101_130416,D,20091027,000000,0.6000000,0.6000000,0.5860000,0.5860000,104.400
17922_090101_130416,D,20091028,000000,0.5900000,0.6250000,0.5650000,0.5650000,111.900
17922_090101_130416,D,20091029,000000,0.6180000,0.6180000,0.5660000,0.6030000,3.700
17922_090101_130416,D,20091030,000000,0.5900000,0.5900000,0.5800000,0.5800000,200
17922_090101_130416,D,20091102,000000,0.6000000,0.6000000,0.6000000,0.6000000,100
17922_090101_130416,D,20091103,000000,0.5990000,0.5990000,0.5420000,0.5900000,255.500
17922_090101_130416,D,20091105,000000,0.5440000,0.6090000,0.5440000,0.5820000,39.400
17922_090101_130416,D,20091106,000000,0.6080000,0.6080000,0.5710000,0.5990000,25.800
17922_090101_130416,D,20091109,000000,0.6200000,0.6200000,0.6000000,0.6000000,255.700
17922_090101_130416,D,20091110,000000,0.5710000,0.6180000,0.5710000,0.6050000,34.000
17922_090101_130416,D,20091111,000000,0.6070000,0.6180000,0.6070000,0.6150000,22.200
17922_090101_130416,D,20091112,000000,0.6100000,0.6190000,0.5910000,0.6190000,8.200
17922_090101_130416,D,20091113,000000,0.6400000,0.6400000,0.5900000,0.5930000,525.600
17922_090101_130416,D,20091116,000000,0.6200000,0.6200000,0.5700000,0.6000000,12.300
17922_090101_130416,D,20091118,000000,0.5990000,0.5990000,0.5990000,0.5990000,100
17922_090101_130416,D,20091119,000000,0.5990000,0.6180000,0.5990000,0.6180000,500
17922_090101_130416,D,20091123,000000,0.5920000,0.6190000,0.5900000,0.6190000,116.600
17922_090101_130416,D,20091124,000000,0.5930000,0.6180000,0.5930000,0.6180000,1.400
17922_090101_130416,D,20091125,000000,0.5720000,0.6200000,0.5310000,0.6200000,356.500
17922_090101_130416,D,20091126,000000,0.6480000,0.6480000,0.6060000,0.6060000,10.200
17922_090101_130416,D,20091127,000000,0.6390000,0.6390000,0.6090000,0.6100000,52.100
17922_090101_130416,D,20091130,000000,0.6050000,0.6100000,0.6050000,0.6100000,69.500
17922_090101_130416,D,20091201,000000,0.6390000,0.6390000,0.6390000,0.6390000,100
17922_090101_130416,D,20091202,000000,0.6480000,0.6660000,0.5200000,0.6390000,334.300
17922_090101_130416,D,20091203,000000,0.6630000,0.6630000,0.6630000,0.6630000,100
17922_090101_130416,D,20091204,000000,0.6190000,0.6190000,0.5900000,0.5900000,119.100
17922_090101_130416,D,20091207,000000,0.6500000,0.6500000,0.6500000,0.6500000,100
17922_090101_130416,D,20091208,000000,0.6100000,0.6100000,0.5910000,0.6090000,1.557.100
17922_090101_130416,D,20091209,000000,0.6490000,0.6490000,0.6490000,0.6490000,100
17922_090101_130416,D,20091210,000000,0.6090000,0.6090000,0.6090000,0.6090000,100
17922_090101_130416,D,20091211,000000,0.5900000,0.5900000,0.5900000,0.5900000,5.000
17922_090101_130416,D,20091214,000000,0.5900000,0.5900000,0.5750000,0.5750000,12.800
17922_090101_130416,D,20091215,000000,0.5720000,0.5720000,0.5660000,0.5660000,3.200
17922_090101_130416,D,20091216,000000,0.6000000,0.6000000,0.5600000,0.5850000,400
17922_090101_130416,D,20091218,000000,0.5610000,0.6390000,0.5610000,0.6390000,73.600
17922_090101_130416,D,20091221,000000,0.5900000,0.5900000,0.5590000,0.5590000,4.500
17922_090101_130416,D,20091222,000000,0.5560000,0.5610000,0.5560000,0.5610000,2.800
17922_090101_130416,D,20091223,000000,0.5850000,0.6000000,0.5850000,0.6000000,4.600
17922_090101_130416,D,20091224,000000,0.6290000,0.6290000,0.6290000,0.6290000,1.200
17922_090101_130416,D,20091225,000000,0.6280000,0.6280000,0.6280000,0.6280000,100
17922_090101_130416,D,20091228,000000,0.6050000,0.6050000,0.6050000,0.6050000,3.000
17922_090101_130416,D,20091229,000000,0.5990000,0.6090000,0.5800000,0.6000000,265.000
17922_090101_130416,D,20100111,000000,0.5410000,0.6490000,0.5410000,0.5810000,9.300
17922_090101_130416,D,20100112,000000,0.6320000,0.6320000,0.5800000,0.5800000,200
17922_090101_130416,D,20100113,000000,0.5980000,0.5980000,0.5980000,0.5980000,100
17922_090101_130416,D,20100114,000000,0.6000000,0.6370000,0.6000000,0.6150000,165.400
17922_090101_130416,D,20100115,000000,0.5950000,0.8390000,0.5810000,0.6990000,764.700
17922_090101_130416,D,20100118,000000,0.6010000,0.7200000,0.6010000,0.6830000,286.900
17922_090101_130416,D,20100119,000000,0.6800000,0.6800000,0.6600000,0.6700000,148.000
17922_090101_130416,D,20100120,000000,0.6980000,0.6980000,0.6600000,0.6900000,153.200
17922_090101_130416,D,20100121,000000,0.6950000,0.6980000,0.6400000,0.6500000,472.900
17922_090101_130416,D,20100122,000000,0.6160000,0.6990000,0.6160000,0.6400000,232.700
17922_090101_130416,D,20100125,000000,0.6990000,0.6990000,0.6990000,0.6990000,100
17922_090101_130416,D,20100126,000000,0.6060000,0.6910000,0.6020000,0.6870000,408.300
17922_090101_130416,D,20100127,000000,0.6590000,0.6590000,0.6200000,0.6540000,220.000
17922_090101_130416,D,20100128,000000,0.6060000,0.7000000,0.6060000,0.6860000,24.000
17922_090101_130416,D,20100129,000000,0.6790000,0.6790000,0.6790000,0.6790000,400
17922_090101_130416,D,20100202,000000,0.6170000,0.6170000,0.6170000,0.6170000,100
17922_090101_130416,D,20100203,000000,0.6210000,0.6220000,0.6200000,0.6200000,28.400
17922_090101_130416,D,20100204,000000,0.6750000,0.6750000,0.6170000,0.6170000,175.000
17922_090101_130416,D,20100205,000000,0.6220000,0.6220000,0.6220000,0.6220000,700
17922_090101_130416,D,20100208,000000,0.6200000,0.6300000,0.6200000,0.6300000,5.000
17922_090101_130416,D,20100209,000000,0.6720000,0.6720000,0.6720000,0.6720000,100
17922_090101_130416,D,20100210,000000,0.6690000,0.6690000,0.6690000,0.6690000,4.400
17922_090101_130416,D,20100211,000000,0.7910000,0.7910000,0.6270000,0.6840000,400
17922_090101_130416,D,20100212,000000,0.7460000,0.7460000,0.7460000,0.7460000,100
17922_090101_130416,D,20100215,000000,0.7450000,0.7450000,0.6050000,0.6620000,77.400
17922_090101_130416,D,20100216,000000,0.6690000,0.7240000,0.6690000,0.7000000,5.400
17922_090101_130416,D,20100217,000000,0.7410000,0.7440000,0.6710000,0.7100000,28.300
17922_090101_130416,D,20100218,000000,0.7390000,0.7390000,0.6800000,0.7090000,6.000
17922_090101_130416,D,20100219,000000,0.7700000,0.7700000,0.6990000,0.7000000,131.600
17922_090101_130416,D,20100225,000000,0.7450000,0.7450000,0.6700000,0.6700000,49.100
17922_090101_130416,D,20100226,000000,0.6650000,0.7800000,0.6650000,0.7500000,472.800
17922_090101_130416,D,20100301,000000,0.7920000,0.7920000,0.7200000,0.7200000,13.000
17922_090101_130416,D,20100302,000000,0.7040000,1.0170000,0.7040000,0.8490000,51.500
17922_090101_130416,D,20100303,000000,0.8300000,0.8300000,0.7400000,0.8020000,67.000
17922_090101_130416,D,20100304,000000,0.8400000,0.8400000,0.7170000,0.7860000,305.600
17922_090101_130416,D,20100305,000000,0.7700000,0.8190000,0.7700000,0.7710000,143.700
17922_090101_130416,D,20100309,000000,0.7700000,0.7990000,0.7670000,0.7990000,18.800
17922_090101_130416,D,20100310,000000,0.7690000,0.7690000,0.7350000,0.7580000,135.700
17922_090101_130416,D,20100311,000000,0.7990000,0.7990000,0.7400000,0.7940000,10.300
17922_090101_130416,D,20100312,000000,0.7880000,0.7890000,0.7760000,0.7890000,9.600
17922_090101_130416,D,20100315,000000,0.7890000,0.8250000,0.7850000,0.8000000,215.700
17922_090101_130416,D,20100316,000000,0.8140000,0.8140000,0.7800000,0.8140000,7.400
17922_090101_130416,D,20100317,000000,0.8670000,0.8710000,0.7900000,0.8250000,40.600
17922_090101_130416,D,20100318,000000,0.8000000,0.8340000,0.8000000,0.8100000,70.700
17922_090101_130416,D,20100319,000000,0.7810000,0.8390000,0.7800000,0.8200000,267.200
17922_090101_130416,D,20100322,000000,0.8370000,0.8370000,0.7780000,0.8190000,28.100
17922_090101_130416,D,20100323,000000,0.8230000,0.8240000,0.7800000,0.8210000,48.200
17922_090101_130416,D,20100324,000000,0.8000000,0.8310000,0.7880000,0.8000000,488.800
17922_090101_130416,D,20100325,000000,0.9470000,0.9470000,0.7860000,0.8040000,89.600
17922_090101_130416,D,20100326,000000,0.8000000,0.8130000,0.7990000,0.8000000,534.300
17922_090101_130416,D,20100329,000000,0.7830000,0.7880000,0.7540000,0.7800000,466.500
17922_090101_130416,D,20100330,000000,0.7620000,0.8000000,0.7450000,0.8000000,314.600
17922_090101_130416,D,20100331,000000,0.8170000,0.8190000,0.8070000,0.8190000,6.200
17922_090101_130416,D,20100401,000000,0.8390000,1.0860000,0.8390000,1.0660000,2.493.900
17922_090101_130416,D,20100402,000000,1.0400000,1.1750000,1.0400000,1.1740000,503.600
17922_090101_130416,D,20100405,000000,1.2220000,1.4290000,1.2000000,1.4290000,1.161.200
17922_090101_130416,D,20100406,000000,1.4000000,1.4980000,1.3700000,1.4500000,1.018.900
17922_090101_130416,D,20100407,000000,1.4490000,1.4490000,1.3260000,1.3270000,203.700
17922_090101_130416,D,20100408,000000,1.3300000,1.3960000,1.3300000,1.3890000,43.400
17922_090101_130416,D,20100409,000000,1.3510000,1.3990000,1.3500000,1.3990000,132.500
17922_090101_130416,D,20100412,000000,1.4400000,1.4400000,1.3450000,1.3890000,19.600
17922_090101_130416,D,20100413,000000,1.2640000,1.3550000,1.2640000,1.3490000,153.700
17922_090101_130416,D,20100414,000000,1.3980000,1.3980000,1.2810000,1.3750000,221.900
17922_090101_130416,D,20100415,000000,1.2790000,1.3890000,1.2790000,1.3790000,208.200
17922_090101_130416,D,20100416,000000,1.3690000,1.3690000,1.2200000,1.3530000,83.900
17922_090101_130416,D,20100419,000000,1.2520000,1.2890000,1.2090000,1.2790000,119.100
17922_090101_130416,D,20100420,000000,1.3910000,1.3910000,1.3190000,1.3200000,21.000
17922_090101_130416,D,20100421,000000,1.2640000,1.3000000,1.2640000,1.3000000,7.100
17922_090101_130416,D,20100422,000000,1.2800000,1.3600000,1.2500000,1.3500000,37.700
17922_090101_130416,D,20100423,000000,1.3000000,1.3000000,1.1120000,1.2740000,124.400
17922_090101_130416,D,20100426,000000,1.2000000,1.4000000,1.1550000,1.2820000,41.800
17922_090101_130416,D,20100427,000000,1.3490000,1.3490000,1.2000000,1.2900000,34.900
17922_090101_130416,D,20100428,000000,1.1500000,1.5000000,1.1280000,1.5000000,114.600
17922_090101_130416,D,20100429,000000,1.4200000,1.4200000,1.2800000,1.3000000,20.400
17922_090101_130416,D,20100430,000000,1.4110000,1.4110000,1.2060000,1.2930000,25.000
17922_090101_130416,D,20100504,000000,1.2930000,1.3000000,1.2120000,1.3000000,15.500
17922_090101_130416,D,20100505,000000,1.3000000,1.3000000,1.2500000,1.2500000,19.100
17922_090101_130416,D,20100506,000000,1.3750000,1.3750000,1.2370000,1.3200000,4.200
17922_090101_130416,D,20100507,000000,1.2500000,1.2770000,1.2190000,1.2200000,52.400
17922_090101_130416,D,20100511,000000,1.2770000,1.3890000,1.1380000,1.3000000,5.000
17922_090101_130416,D,20100512,000000,1.3000000,1.3590000,1.1250000,1.2000000,141.300
17922_090101_130416,D,20100513,000000,1.2000000,1.2410000,1.1730000,1.1730000,26.800
17922_090101_130416,D,20100514,000000,1.1400000,1.2200000,1.1390000,1.1950000,53.400
17922_090101_130416,D,20100517,000000,1.2000000,1.2240000,1.1830000,1.2240000,106.000
17922_090101_130416,D,20100518,000000,1.2240000,1.3900000,1.2070000,1.2980000,19.900
17922_090101_130416,D,20100519,000000,1.2500000,1.2500000,1.2500000,1.2500000,18.300
17922_090101_130416,D,20100520,000000,1.3900000,1.3900000,1.0000000,1.1000000,158.000
17922_090101_130416,D,20100521,000000,0.9900000,1.1350000,0.7450000,0.9710000,150.400
17922_090101_130416,D,20100524,000000,0.9760000,1.0020000,0.9500000,0.9500000,72.200
17922_090101_130416,D,20100525,000000,0.9970000,0.9970000,0.8970000,0.9300000,1.300
17922_090101_130416,D,20100526,000000,0.9470000,0.9470000,0.8920000,0.8920000,9.100
17922_090101_130416,D,20100527,000000,0.9300000,0.9490000,0.8810000,0.9490000,138.800
17922_090101_130416,D,20100528,000000,0.9870000,0.9870000,0.8320000,0.9670000,79.000
17922_090101_130416,D,20100531,000000,0.9550000,0.9770000,0.9550000,0.9770000,200
