<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MRKC,D,20090111,000000,115.0100000,115.0100000,110.6100000,111.5800000,37.468.381
MRKC,D,20090112,000000,110.8800000,115.4500000,110.7500000,113.8500000,67.716.875
MRKC,D,20090113,000000,112.6000000,115.7400000,111.6000000,114.1400000,60.701.710
MRKC,D,20090114,000000,115.1100000,117.0000000,108.0000000,108.3000000,65.930.486
MRKC,D,20090115,000000,106.9900000,110.6900000,105.3500000,107.1700000,93.744.480
MRKC,D,20090116,000000,110.0000000,111.7100000,107.5000000,107.9000000,73.134.309
MRKC,D,20090119,000000,110.5300000,110.8000000,103.5500000,106.0500000,72.454.678
MRKC,D,20090120,000000,105.3000000,108.1500000,102.8300000,105.5500000,70.698.870
MRKC,D,20090121,000000,103.0000000,109.3700000,102.6000000,107.9900000,80.824.992
MRKC,D,20090122,000000,110.0200000,110.3700000,103.3300000,103.7900000,75.711.080
MRKC,D,20090123,000000,103.2000000,105.7400000,99.5000000,101.4900000,63.029.923
MRKC,D,20090126,000000,103.0000000,111.8900000,101.6400000,111.4100000,98.322.559
MRKC,D,20090127,000000,111.8000000,112.2500000,107.2100000,109.5600000,104.104.813
MRKC,D,20090128,000000,111.0100000,114.8000000,110.0000000,114.1100000,82.276.619
MRKC,D,20090129,000000,114.2000000,115.6800000,112.3500000,113.8500000,70.611.966
MRKC,D,20090130,000000,112.9700000,118.2700000,112.0000000,114.7000000,81.082.561
MRKC,D,20090202,000000,113.0000000,116.7800000,111.8000000,116.7000000,62.904.432
MRKC,D,20090203,000000,117.0100000,118.2000000,115.7700000,117.0000000,65.390.826
MRKC,D,20090204,000000,118.5100000,119.6200000,116.3900000,118.3800000,79.206.684
MRKC,D,20090205,000000,117.0000000,118.2400000,113.1200000,113.6900000,59.756.922
MRKC,D,20090206,000000,115.2500000,117.3500000,113.0000000,117.0000000,66.528.323
MRKC,D,20090209,000000,116.6900000,127.1400000,115.8700000,126.0000000,135.005.667
MRKC,D,20090210,000000,125.0000000,130.9100000,123.1700000,127.7000000,142.820.583
MRKC,D,20090211,000000,124.9800000,129.2400000,121.8100000,124.4000000,124.218.397
MRKC,D,20090212,000000,124.5200000,127.9000000,119.8300000,119.9100000,105.438.909
MRKC,D,20090213,000000,122.5600000,127.5700000,122.5100000,126.5100000,63.193.211
MRKC,D,20090216,000000,125.4800000,127.7700000,122.5600000,123.9900000,55.758.576
MRKC,D,20090217,000000,122.5000000,122.6600000,112.8100000,113.9000000,84.589.361
MRKC,D,20090218,000000,113.0000000,115.7600000,107.1000000,110.9800000,105.131.044
MRKC,D,20090219,000000,111.9600000,117.6900000,111.5300000,113.4000000,82.824.508
MRKC,D,20090220,000000,111.5700000,113.3000000,109.5000000,111.6500000,54.111.770
MRKC,D,20090224,000000,109.2100000,112.9500000,108.1300000,112.0000000,54.920.060
MRKC,D,20090225,000000,113.7800000,116.4800000,112.1800000,112.7500000,61.084.325
MRKC,D,20090226,000000,114.7500000,119.5500000,114.5900000,119.3000000,81.520.110
MRKC,D,20090227,000000,117.9900000,119.3500000,113.3100000,116.5000000,63.860.511
MRKC,D,20090302,000000,113.1200000,114.3000000,110.8000000,111.8300000,48.427.854
MRKC,D,20090303,000000,110.7000000,112.7200000,108.7600000,111.3000000,76.720.031
MRKC,D,20090304,000000,112.3500000,115.3500000,112.3100000,114.5500000,81.179.592
MRKC,D,20090305,000000,115.4000000,115.5000000,110.4500000,112.0700000,56.158.386
MRKC,D,20090306,000000,110.5900000,113.7800000,110.5500000,112.7000000,58.909.624
MRKC,D,20090310,000000,114.0000000,125.2100000,113.9700000,124.3000000,116.354.721
MRKC,D,20090311,000000,125.4000000,127.7000000,121.2000000,125.8300000,120.222.091
MRKC,D,20090312,000000,123.4900000,125.6400000,118.6100000,122.5000000,90.853.953
MRKC,D,20090313,000000,126.1300000,130.8000000,125.1700000,127.3000000,138.111.426
MRKC,D,20090316,000000,126.7000000,129.0000000,124.7500000,128.6800000,81.116.886
MRKC,D,20090317,000000,129.1200000,129.6500000,125.8000000,125.9100000,85.753.735
MRKC,D,20090318,000000,127.9100000,128.6700000,119.7000000,120.5000000,74.232.219
MRKC,D,20090319,000000,123.0000000,126.9500000,122.6000000,124.3000000,87.974.719
MRKC,D,20090320,000000,123.7900000,126.5400000,121.8100000,125.9900000,64.930.061
MRKC,D,20090323,000000,128.4900000,137.1900000,128.2600000,137.0800000,117.298.512
MRKC,D,20090324,000000,141.0300000,141.5000000,131.5000000,133.3000000,94.545.620
MRKC,D,20090325,000000,132.9000000,139.0400000,132.1100000,137.9000000,95.917.964
MRKC,D,20090326,000000,139.5600000,139.9900000,133.8500000,136.7000000,85.969.487
MRKC,D,20090327,000000,136.4900000,140.1500000,130.8500000,133.2700000,95.939.868
MRKC,D,20090330,000000,130.0000000,130.7000000,123.9600000,124.2100000,63.034.074
MRKC,D,20090331,000000,124.9900000,131.1800000,124.5000000,126.4000000,76.597.009
MRKC,D,20090401,000000,126.0000000,131.5000000,124.6000000,131.3500000,78.254.894
MRKC,D,20090402,000000,135.0000000,140.6000000,135.0000000,140.5900000,92.218.902
MRKC,D,20090403,000000,139.8200000,142.2500000,137.5200000,137.8500000,72.809.804
MRKC,D,20090406,000000,141.0100000,144.8800000,135.5700000,136.0000000,86.610.404
MRKC,D,20090407,000000,137.2600000,139.6500000,132.7800000,135.4000000,58.744.343
MRKC,D,20090408,000000,132.8600000,139.9800000,130.6200000,139.9700000,82.990.176
MRKC,D,20090409,000000,143.0300000,148.5000000,140.9100000,147.9000000,96.085.786
MRKC,D,20090410,000000,149.0000000,149.4100000,145.0800000,147.7800000,35.501.305
MRKC,D,20090413,000000,146.8200000,147.5000000,142.2700000,142.7400000,43.463.073
MRKC,D,20090414,000000,143.3100000,148.4500000,140.7200000,144.9900000,82.618.459
MRKC,D,20090415,000000,142.0900000,144.2000000,140.1100000,141.9500000,53.068.864
MRKC,D,20090416,000000,143.5100000,144.4000000,140.8900000,142.9900000,51.192.479
MRKC,D,20090417,000000,144.1100000,145.5700000,142.2600000,143.5100000,46.011.532
MRKC,D,20090420,000000,143.0100000,143.7700000,133.3000000,134.0000000,59.728.160
MRKC,D,20090421,000000,132.6900000,136.8000000,131.5000000,134.4700000,53.896.096
MRKC,D,20090422,000000,135.5500000,140.5100000,134.6600000,140.3000000,64.579.495
MRKC,D,20090423,000000,140.0100000,149.4900000,139.6000000,149.0000000,101.894.243
MRKC,D,20090424,000000,149.0100000,152.1900000,146.1200000,150.0000000,120.440.151
MRKC,D,20090427,000000,148.4100000,149.0000000,142.6700000,145.5000000,76.757.990
MRKC,D,20090428,000000,142.7000000,143.2000000,138.6700000,143.0000000,71.716.596
MRKC,D,20090429,000000,143.9900000,149.0900000,141.2400000,149.0000000,88.987.218
MRKC,D,20090430,000000,150.8900000,152.4000000,147.4000000,147.8200000,69.129.662
MRKC,D,20090504,000000,151.0200000,155.4800000,151.0000000,155.0000000,60.778.688
MRKC,D,20090505,000000,156.5000000,163.8800000,153.6300000,161.3000000,85.144.245
MRKC,D,20090506,000000,159.9900000,171.7200000,159.6000000,169.9100000,107.030.524
MRKC,D,20090507,000000,172.9800000,178.6500000,170.1000000,171.6100000,129.366.265
MRKC,D,20090508,000000,173.0300000,175.3800000,171.0700000,173.3000000,60.632.257
MRKC,D,20090512,000000,169.9900000,180.3900000,169.1300000,179.0500000,96.452.277
MRKC,D,20090513,000000,181.1800000,186.2800000,164.1000000,167.1900000,121.812.896
MRKC,D,20090514,000000,163.9700000,167.8700000,160.0000000,165.5000000,90.985.143
MRKC,D,20090515,000000,168.0300000,169.7000000,161.8500000,166.2400000,83.729.183
MRKC,D,20090518,000000,162.9700000,170.8800000,161.1000000,170.3100000,69.477.819
MRKC,D,20090519,000000,175.2000000,178.4000000,170.9000000,176.0200000,104.276.713
MRKC,D,20090520,000000,176.5000000,183.5100000,173.8200000,183.2400000,108.716.226
MRKC,D,20090521,000000,180.0000000,180.2000000,170.1100000,170.1500000,85.952.441
MRKC,D,20090522,000000,172.3400000,176.4400000,171.2500000,174.1700000,71.781.038
MRKC,D,20090525,000000,174.5000000,175.1800000,168.1200000,170.6700000,54.939.263
MRKC,D,20090526,000000,169.9700000,170.4500000,164.5000000,170.1500000,72.632.646
MRKC,D,20090527,000000,173.2100000,175.3500000,171.1900000,171.2000000,72.570.059
MRKC,D,20090528,000000,170.1500000,174.5200000,169.9900000,172.5600000,71.640.788
MRKC,D,20090529,000000,175.7500000,178.7500000,175.5100000,178.1000000,85.214.142
MRKC,D,20090601,000000,182.8400000,191.5700000,182.6000000,191.5000000,89.632.632
MRKC,D,20090602,000000,192.0000000,195.8400000,185.0300000,190.5000000,102.388.505
MRKC,D,20090603,000000,191.5100000,192.9700000,173.7300000,175.1000000,94.143.896
MRKC,D,20090604,000000,174.9700000,180.9200000,170.2100000,176.5600000,85.692.194
MRKC,D,20090605,000000,181.0100000,186.4000000,177.0000000,182.0000000,76.959.582
MRKC,D,20090608,000000,178.8200000,179.5000000,173.8000000,177.1500000,53.631.772
MRKC,D,20090609,000000,178.7000000,180.4800000,175.2000000,177.1500000,52.320.971
MRKC,D,20090610,000000,182.5000000,184.4900000,178.3700000,181.0400000,78.412.784
MRKC,D,20090611,000000,183.5000000,184.5000000,178.5500000,183.4700000,65.226.272
MRKC,D,20090615,000000,179.1400000,179.4900000,173.0300000,173.8000000,54.217.007
